R [km],M [Msun],P_div_c2 [g/cm^3]
1.078587755102040724e+01,1.928904682110472057e+00,3.182240543798029500e+15
1.078881632653061473e+01,1.928682353535607907e+00,3.251994318585889000e+15
1.079489795918367356e+01,1.928413220529039629e+00,3.323277075557901500e+15
1.080085714285714360e+01,1.928137946987365403e+00,3.396122329552905500e+15
1.080579591836734821e+01,1.927786632935961197e+00,3.470564330045101500e+15
1.081289795918367425e+01,1.927411646235183573e+00,3.546638077247070000e+15
1.081818367346938814e+01,1.927011299243017728e+00,3.624379338565762000e+15
1.082297959183673441e+01,1.926486241885221773e+00,3.703824665419149500e+15
1.082589795918367415e+01,1.925898442165006941e+00,3.785011410421467000e+15
1.083273469387755128e+01,1.925344066476014193e+00,3.867977744945289500e+15
1.084071428571428797e+01,1.924709028661691690e+00,3.952762677068429000e+15
1.084377551020408070e+01,1.923980252119297463e+00,4.039406069914234500e+15
1.085091836734694049e+01,1.923252963363111245e+00,4.127948660393967000e+15
1.085761224489796106e+01,1.922482325605899600e+00,4.218432078360011000e+15
1.086191836734693972e+01,1.921543455129590239e+00,4.310898866178845000e+15
1.086771428571428721e+01,1.920779077228035980e+00,4.405392498733029000e+15
1.087467346938775670e+01,1.919701851058365882e+00,4.501957403861789000e+15
1.088085714285714367e+01,1.918574201474532614e+00,4.600638983249492000e+15
1.088893877551020495e+01,1.917550304926454841e+00,4.701483633772008000e+15
1.089536734693877662e+01,1.916455941051156131e+00,4.804538769311050000e+15
1.090291836734694009e+01,1.915225163986925105e+00,4.909852843046682000e+15
1.090763265306122420e+01,1.913878837558467216e+00,5.017475370238396000e+15
1.091195918367347062e+01,1.912583631704046994e+00,5.127456951505514000e+15
1.092163265306122533e+01,1.911166900756361642e+00,5.239849296618084000e+15
1.092977551020408100e+01,1.909702418017412695e+00,5.354705248809073000e+15
1.093597959183673396e+01,1.908264378505030168e+00,5.472078809619473000e+15
1.094038775510204076e+01,1.906812962177961701e+00,5.592025164288227000e+15
1.094577551020408102e+01,1.905439209777908038e+00,5.714600707698362000e+15
1.095085714285714396e+01,1.904213393137885291e+00,5.839863070892208000e+15
1.095991836734694047e+01,1.903102836296065803e+00,5.967871148167465000e+15
1.096287755102040862e+01,1.901880292231421521e+00,6.098685124767550000e+15
1.096622448979591979e+01,1.900745759595426021e+00,6.232366505178681000e+15
1.097300000000000075e+01,1.899465363295813614e+00,6.368978142047206000e+15
1.097697959183673433e+01,1.898195756395737233e+00,6.508584265731061000e+15
1.098257142857143087e+01,1.896912897157480016e+00,6.651250514498591000e+15
1.099148979591836728e+01,1.895426568937901513e+00,6.797043965389746000e+15
1.099436734693877682e+01,1.893985112725190545e+00,6.946033165753308000e+15
1.099969387755102090e+01,1.892416651830744811e+00,7.098288165475828000e+15
1.100587755102040788e+01,1.890878317782038520e+00,7.253880549916723000e+15
1.101475510204081765e+01,1.889248548754832502e+00,7.412883473565301000e+15
1.101577551020408130e+01,1.887514371114244804e+00,7.575371694435834000e+15
1.102375510204081799e+01,1.885640994397467907e+00,7.741421609216111000e+15
1.102989795918367477e+01,1.883797298324960456e+00,7.911111289186924000e+15
1.103797959183673427e+01,1.881762967649698082e+00,8.084520516928402000e+15
